,Feature,Importance
0,bedrooms,0.0074490181321180005
1,bathrooms,0.020320416507506
2,sqft_living,0.4403296319952211
3,sqft_lot,0.0313238470387496
4,floors,0.005765382373218813
5,waterfront,0.08309958529665709
6,view,0.022683845783513745
7,condition,0.0074303195546049595
8,grade,0.04555273222485229
9,sqft_above,0.03515909284115535
10,sqft_basement,0.01575077259077802
11,yr_built,0.08369752355821303
12,yr_renovated,0.009934883773876907
13,zipcode,0.09916123740322483
14,sqft_living15,0.06268837875617728
15,sqft_lot15,0.029653332170132992
